N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|79920|1,261|11|0|1|0
9|12|79920|503|11|0|1|0
9|12|79920|487|11|0|1|0
9|12|79920|491|11|0|1|0
9|12|79920|468|11|0|1|0
9|12|79920|463|11|0|1|0
9|12|79920|459|11|0|1|0
9|12|79920|472|11|0|1|0
9|12|79920|459|11|0|1|0
9|12|79920|459|11|0|1|0
9|12|79920|460|11|0|1|0
9|12|79920|469|11|0|1|0
9|12|79920|452|11|0|1|0
9|12|79920|460|11|0|1|0
9|12|79920|460|11|0|1|0
9|12|79920|457|11|0|1|0
9|12|79920|453|11|0|1|0
9|12|79920|459|11|0|1|0
9|12|79920|452|11|0|1|0
9|12|79920|451|11|0|1|0
9|12|79920|461|11|0|1|0
9|12|79920|458|11|0|1|0
9|12|79920|453|11|0|1|0
9|12|79920|456|11|0|1|0
9|12|79920|456|11|0|1|0
9|12|79920|451|11|0|1|0
9|12|79920|457|11|0|1|0
9|12|79920|457|11|0|1|0
9|12|79920|458|11|0|1|0
9|12|79920|451|11|0|1|0
9|12|79920|465|11|0|1|0
9|12|79920|460|11|0|1|0
9|12|79920|471|11|0|1|0
9|12|79920|456|11|0|1|0
9|12|79920|457|11|0|1|0
9|12|79920|455|11|0|1|0
9|12|79920|452|11|0|1|0
9|12|79920|454|11|0|1|0
9|12|79920|456|11|0|1|0
9|12|79920|452|11|0|1|0
9|12|79920|455|11|0|1|0
9|12|79920|451|11|0|1|0
9|12|79920|453|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|455|11|0|1|0
9|12|79920|451|11|0|1|0
9|12|79920|453|11|0|1|0
9|12|79920|452|11|0|1|0
9|12|79920|457|11|0|1|0
9|12|79920|454|11|0|1|0
9|12|79920|452|11|0|1|0
9|12|79920|454|11|0|1|0
9|12|79920|453|11|0|1|0
9|12|79920|448|11|0|1|0
9|12|79920|457|11|0|1|0
9|12|79920|454|11|0|1|0
9|12|79920|456|11|0|1|0
9|12|79920|451|11|0|1|0
9|12|79920|445|11|0|1|0
9|12|79920|453|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|453|11|0|1|0
9|12|79920|448|11|0|1|0
9|12|79920|455|11|0|1|0
9|12|79920|446|11|0|1|0
9|12|79920|455|11|0|1|0
9|12|79920|449|11|0|1|0
9|12|79920|457|11|0|1|0
9|12|79920|449|11|0|1|0
9|12|79920|454|11|0|1|0
9|12|79920|452|11|0|1|0
9|12|79920|455|11|0|1|0
9|12|79920|449|11|0|1|0
9|12|79920|456|11|0|1|0
9|12|79920|450|11|0|1|0
9|12|79920|459|11|0|1|0
9|12|79920|456|11|0|1|0
9|12|79920|460|11|0|1|0
9|12|79920|450|11|0|1|0
9|12|79920|456|11|0|1|0
9|12|79920|449|11|0|1|0
9|12|79920|455|11|0|1|0
9|12|79920|451|11|0|1|0
9|12|79920|452|11|0|1|0
9|12|79920|449|11|0|1|0
9|12|79920|461|11|0|1|0
9|12|79920|449|11|0|1|0
9|12|79920|454|11|0|1|0
9|12|79920|454|11|0|1|0
9|12|79920|447|11|0|1|0
9|12|79920|456|11|0|1|0
9|12|79920|451|11|0|1|0
9|12|79920|458|11|0|1|0
9|12|79920|452|11|0|1|0
9|12|79920|451|11|0|1|0
9|12|79920|444|11|0|1|0
9|12|79920|452|11|0|1|0
9|12|79920|450|11|0|1|0
9|12|79920|455|11|0|1|0
9|12|79920|446|11|0|1|0
-1|-1|-1|-1|-1|-1|-1|62,425
